State,Top 1,Top 2,Top 3
Alabama,Labrador retriever,German shepherd,Beagle
Alaska,Labrador retriever,German shepherd,Golden retriever
Arizona,Labrador retriever,German shepherd,Golden retriever
Arkansas,Labrador retriever,German shepherd,Beagle
California,Labrador retriever,French bulldog,German shepherd
Colorado,Labrador retriever,German shepherd,Golden retriever
Connecticut,Labrador retriever,German shepherd,Golden retriever
Delaware,Labrador retriever,German shepherd,Golden retriever
Florida,German shepherd,Labrador retriever,Golden retriever
Georgia,Labrador retriever,German shepherd,Beagle
Hawaii,French bulldog,Labrador retriever,Rottweiler
Idaho,Labrador retriever,Golden retriever,German shepherd
Illinois,Labrador retriever,German shepherd,Golden retriever
Indiana,German shepherd,Labrador retriever,Golden retriever
Iowa,Labrador retriever,German shepherd,Golden retriever
Kansas,Labrador retriever,German shepherd,Bulldog
Kentucky,Beagle,,
Louisiana,Catahoula leopard dog,,
Maine,Labrador retriever,Golden retriever,German shepherd
Maryland,Labrador retriever,German shepherd,Golden retriever
Massachusetts,Labrador retriever,Golden retriever,German shepherd
Michigan,Labrador retriever,German shepherd,Golden retriever
Minnesota,Labrador retriever,Golden retriever,German shepherd
Mississippi,Labrador retriever,Beagle,German shepherd
Missouri,Labrador retriever,German shepherd,French bulldog
Montana,Labrador retriever,Golden retriever,German shepherd
Nebraska,Labrador retriever,German shepherd,Golden retriever
Nevada,Labrador retriever,Bulldog,German shepherd
New Hampshire,Labrador retriever,German shepherd,Golden retriever
New Jersey,Labrador retriever,German shepherd,Golden retriever
New Mexico,Labrador retriever,Golden retriever,Bulldog
New York,Labrador retriever,German shepherd,Golden retriever
North Carolina,Labrador retriever,German shepherd,Beagle
North Dakota,Labrador retriever,Golden retriever,German shepherd
Ohio,Labrador retriever,German shepherd,Golden retriever
Oklahoma,Bulldog,Labrador retriever,German shepherd
Oregon,Labrador retriever,German shepherd,Golden retriever
Pennsylvania,Labrador retriever,German shepherd,Golden retriever
Rhode Island,Labrador retriever,German shepherd,Golden retriever
South Carolina,Labrador retriever,German shepherd,Beagle
South Dakota,Labrador retriever,Golden retriever,German shepherd
Tennessee,Labrador retriever,German shepherd,Beagle
Texas,Labrador retriever,German shepherd,Bulldog
Utah,Labrador retriever,German shepherd,Golden retriever
Vermont,Labrador retriever,Beagle,Golden retriever
Virginia,Labrador retriever,German shepherd,Beagle
Washington,Labrador retriever,German shepherd,Golden retriever
West Virginia,German shepherd,Beagle,Labrador retriever
Wisconsin,Labrador retriever,Golden retriever,German shepherd
Wyoming,Labrador retriever,German shepherd,Golden retriever
